package	version	commands	purpose
ifenslave	2.14	-	configure network interfaces for parallel routing (bonding)
ike-scan	1.9.5-2	ike-scan,psk-crack	discover and fingerprint IKE hosts (IPsec VPN Servers)
impacket-scripts	1.10	impacket-DumpNTLMInfo,impacket-Get-GPPPassword,impacket-GetADComputers,impacket-GetADUsers,impacket-GetLAPSPassword,impacket-GetNPUsers,impacket-GetUserSPNs,impacket-addcomputer,impacket-atexec,impacket-changepasswd,impacket-dacledit,impacket-dcomexec,impacket-describeTicket,impacket-dpapi,impacket-esentutl,impacket-exchanger,impacket-findDelegation,impacket-getArch,impacket-getPac,impacket-getST,impacket-getTGT,impacket-goldenPac,impacket-karmaSMB,impacket-keylistattack,impacket-lookupsid,impacket-machine_role,impacket-mimikatz,impacket-mqtt_check,impacket-mssqlclient,impacket-mssqlinstance,impacket-net,impacket-ntfs-read,impacket-ntlmrelayx,impacket-owneredit,impacket-ping,impacket-ping6,impacket-psexec,impacket-raiseChild,impacket-rbcd,impacket-rdp_check,impacket-reg,impacket-registry-read,impacket-rpcmap,impacket-sambaPipe,impacket-services,impacket-smbclient,impacket-smbexec,impacket-smbserver,impacket-sniff,impacket-sniffer,impacket-split,impacket-ticketConverter,impacket-ticketer,impacket-tstool,impacket-wmipersist,impacket-wmiquery	Links to useful impacket scripts examples
inetsim	1.3.2+dfsg.1-8	inetsim	Software suite for simulating common internet services
iodine	0.7.0-13	iodine,iodine-client-start,iodined	tool for tunneling IPv4 data through a DNS server
iputils-arping		-	
iw	6.17-1	iw	tool for configuring Linux wireless devices
john	1.9.0-Jumbo-1+git20211102-0kali11	SIPdump,base64conv,bitlocker2john,calc_stat,cprepair,dmg2john,eapmd5tojohn,genmkvpwd,gpg2john,hccap2john,john,keepass2john,mailer,mkvcalcproba,putty2john,racf2john,rar2john,raw2dyna,tgtsnarf,uaf2john,unafs,undrop,unique,unshadow,vncpcap2john,wpapcap2john,zip2john	active password cracking tool
kali-linux-core	2026.3.4	-	Kali's core packages
kali-system-cli	2026.3.4	-	Kali's system CLI tools
kismet	2025.09.R1-0kali3	-	wireless network and device detector (metapackage)
laudanum	1.0+r36-0kali6	laudanum	Collection of injectable web files
lbd	0.4-1kali3	lbd	Load balancer detector
libimage-exiftool-perl	13.55+dfsg-1	exiftool	library and program to read and write meta information in multimedia files
macchanger	1.7.0-6	macchanger	utility for manipulating the MAC address of network interfaces
magicrescue	1.1.10+dfsg-3	dupemap,magicrescue,magicsort	recover files by looking for magic bytes
maskprocessor	0.73+git20170609.1708898-4	mp32,mp64	high-performance word generator with a per-position configurable charset
masscan	2:1.3.2+ds1-2	masscan	TCP port scanner
metasploit-framework	6.5.3-0kali1	msf-egghunter,msf-exe2vba,msf-exe2vbs,msf-find_badchars,msf-halflm_second,msf-hmac_sha1_crack,msf-java_deserializer,msf-jsobfu,msf-makeiplist,msf-md5_lookup,msf-metasm_shell,msf-msf_irb_shell,msf-nasm_shell,msf-pattern_create,msf-pattern_offset,msf-pdf2xdp,msf-virustotal	Framework for exploit development and vulnerability research
mimikatz	2.2.0-git20220919-0kali1	mimikatz	Uses admin rights on Windows to display passwords in plaintext
minicom	2.11.1-2	ascii-xfr,minicom,runscript,xminicom	menu-driven serial communication program
miredo	1.2.6-7.2	miredo,miredo-checkconf,teredo-mire	Teredo IPv6 tunneling through NATs
mitmproxy	12.2.3-0kali3	mitmdump,mitmproxy,mitmweb	SSL-capable man-in-the-middle HTTP proxy
mlocate		-	
msfpc	1.4.5-0kali3	msfpc	MSFvenom Payload Creator (MSFPC)
multimac	1.0.3-1kali4	multimac	Create multiple MACs on an adapter
nasm	3.01-1	nasm,ndisasm	General-purpose x86 assembler
nbtscan	1.7.2-3	nbtscan	scan networks searching for NetBIOS information
ncrack	0.7+debian-6	ncrack	High-speed network authentication cracking tool
ncurses-hexedit	0.9.7+orig-7.3	hexeditor	Edit files/disks in hex, ASCII and EBCDIC
netdiscover	0.21-1	netdiscover	active/passive network address scanner using ARP requests
netexec	1.5.1-0kali2	netexec,nxc,nxcdb	Network Execution Tool
netmask	2.5.0-1	netmask	helps determine network masks
netsed	1.4-1	netsed	network packet-altering stream editor
netsniff-ng	0.6.9-2+b1	astraceroute,bpfc,curvetun,flowtop,ifpps,mausezahn,netsniff-ng,trafgen	Linux network packet sniffer toolkit
ngrep	1.47+ds1-8	ngrep	grep for network traffic
nikto	1:2.6.1-0kali1	nikto,replay	web server security scanner
nmap	7.99+dfsg-1kali1	nmap,nping	The Network Mapper
onesixtyone	0.3.4-1	onesixtyone	fast and simple SNMP scanner
openvpn	2.7.5-1	openvpn	virtual private network daemon
passing-the-hash	0~2015.12.37+b1	pth-curl,pth-net,pth-rpcclient,pth-smbclient,pth-smbget,pth-sqsh,pth-winexe,pth-wmic,pth-wmis	Patched tools to use password hashes as authentication input
patator	1.1.0-1	patator	Multi-purpose brute-forcer
pdf-parser	0.7.14-0kali1	pdf-parser	Parses PDF files to identify fundamental elements
pdfid	0.2.10-0kali1	pdfid	Scans PDF files for certain PDF keywords
peass	20260824.e872d65c-0kali1	linpeas,peass,winpeas	Privilege Escalation Awesome Scripts SUITE
php	2:8.4+99	-	server-side, HTML-embedded scripting language (default)
php-mysql	2:8.4+99	-	MySQL module for PHP [default]
pipal	3.4.0-0kali1	pipal	Statistical analysis on password dumps
pipx	1.15.0-1	pipx	execute binaries from Python packages in isolated environments
pixiewps	1.4.2-5	pixiewps	Offline WPS bruteforce tool
powershell	7.6.2-1.deb	pwsh	PowerShell is an automation and configuration management platform.
powershell-empire	6.6.0-0kali1	powershell-empire,starkiller,starkiller-start,starkiller-stop	PowerShell and Python post-exploitation agent
powersploit	3.0.0+git20200817.d943001-0kali1	powersploit	PowerShell Post-Exploitation Framework
projectdiscovery-nuclei	v3.11.1	nuclei	Fast template-based vulnerability scanner (copied from official image)
proxychains4	4.17-3.1	proxychains4,proxychains4-daemon	redirect connections through socks/http proxies (proxychains-ng)
proxytunnel	1.13.0-2	proxytunnel	Help SSH and other protocols through HTTP(S) proxies
ptunnel	0.72-4	ptunnel	Tunnel TCP connections over ICMP packets
pwnat	0.3.0-0kali2	pwnat	NAT to NAT client-server communication
python3-impacket	0.13.0+git20251120-9c2d8b6-0kali1	impacket-netview,impacket-rpcdump,impacket-samrdump,impacket-secretsdump,impacket-wmiexec	Python3 module to easily build and dissect network protocols
python3-pip	26.1.2+dfsg-1	pip,pip3	Python package installer
python3-scapy	2.7.0+dfsg1-1	scapy,scapy3	Packet generator/sniffer and network scanner/discovery (Python 3)
python3-virtualenv	21.5.1+ds-1	virtualenv	Python virtual environment creator
qsslcaudit	0.8.3-0kali2	qsslcaudit	test SSL/TLS clients how secure they are
radare2	6.0.4+dfsg-1	r2,r2agent,r2pm,r2r,r2sdb,rabin2,radare2,radiff2,rafind2,ragg2,rahash2,rapatch2,rarun2,rasign2,rasm2,ravc2,rax2	free and advanced command line hexadecimal editor
rake	13.4.2-1	rake	ruby make-like utility
reaver	1.6.6-2+b1	reaver,wash	brute force attack tool against Wi-Fi Protected Setup PIN number
rebind	0.3.4-1kali10	dns-rebind	DNS rebinding tool
recon-ng	5.1.2-2	recon-cli,recon-ng,recon-web	Web Reconnaissance framework written in Python
redsocks	0.5-2+b5	redsocks	arbitrary TCP connection redirector to a SOCKS or HTTPS proxy server
responder	3.2.2.0-0kali1	responder,responder-BrowserListener,responder-DHCP_Auto,responder-FindSQLSrv,responder-Icmp-Redirect,responder-MultiRelay,responder-RunFinger	LLMNR/NBT-NS/mDNS Poisoner
rfkill	2.42.2-2	rfkill	tool for enabling and disabling wireless devices
rsmangler	1.5-0kali3	rsmangler	Wordlist mangling tool
sakis3g	0.2.0e+git20150717-0kali2	sakis3g	Tool for establishing 3G connections
