ieee-data	20260625	ii 
ifenslave	2.14	ii 
ifupdown	0.8.45+nmu1	ii 
ike-scan	1.9.5-2	ii 
impacket-scripts	1.10	ii 
inetsim	1.3.2+dfsg.1-8	ii 
inetutils-telnet	2:2.8-3	ii 
init-system-helpers	1.69+kali1	ii 
initramfs-tools	0.151	ii 
initramfs-tools-bin	0.151	ii 
initramfs-tools-core	0.151	ii 
iodine	0.7.0-13	ii 
iproute2	7.1.0-1	ii 
iw	6.17-1	ii 
java-common	0.77	ii 
java-wrappers	0.5	ii 
john	1.9.0-Jumbo-1+git20211102-0kali11	ii 
john-data	1.9.0-Jumbo-1+git20211102-0kali11	ii 
kali-archive-keyring	2025.2	ii 
kali-defaults	2026.3.2	ii 
kali-linux-core	2026.3.4	ii 
kali-linux-headless	2026.3.4	ii 
kali-system-cli	2026.3.4	ii 
kali-system-core	2026.3.4	ii 
kali-tools-top10	2026.3.4	ii 
keyutils	1.6.3-6+b2	ii 
kismet	2025.09.R1-0kali3	ii 
kismet-capture-antsdr-droneid	2025.09.R1-0kali3	ii 
kismet-capture-common	2025.09.R1-0kali3	ii 
kismet-capture-freaklabs-zigbee	2025.09.R1-0kali3	ii 
kismet-capture-hak5-wifi-coconut	2025.09.R1-0kali3	ii 
kismet-capture-linux-bluetooth	2025.09.R1-0kali3	ii 
kismet-capture-linux-wifi	2025.09.R1-0kali3	ii 
kismet-capture-nrf-51822	2025.09.R1-0kali3	ii 
kismet-capture-nrf-52840	2025.09.R1-0kali3	ii 
kismet-capture-nrf-mousejack	2025.09.R1-0kali3	ii 
kismet-capture-nxp-kw41z	2025.09.R1-0kali3	ii 
kismet-capture-radiacode-usb	2025.09.R1-0kali3	ii 
kismet-capture-rtl433	2025.09.R1-0kali3	ii 
kismet-capture-rtladsb	2025.09.R1-0kali3	ii 
kismet-capture-rz-killerbee	2025.09.R1-0kali3	ii 
kismet-capture-serial-radview	2025.09.R1-0kali3	ii 
kismet-capture-ti-cc-2531	2025.09.R1-0kali3	ii 
kismet-capture-ti-cc-2540	2025.09.R1-0kali3	ii 
kismet-capture-ubertooth-one	2025.09.R1-0kali3	ii 
kismet-core	2025.09.R1-0kali3	ii 
kismet-logtools	2025.09.R1-0kali3	ii 
klibc-utils	2.0.14-1+b2	ii 
kmod	34.2-2kali1	ii 
krb5-multidev:amd64	1.22.1-3	ii 
laudanum	1.0+r36-0kali6	ii 
lbd	0.4-1kali3	ii 
ldap-utils	2.6.14+dfsg-1	ii 
libabsl20260526:amd64	20260526.0-2	ii 
libacl1:amd64	2.4.0-1	ii 
libafflib0t64:amd64	3.7.22-3	ii 
libaio1t64:amd64	0.3.113-9+kali2	ii 
libaom3:amd64	3.14.1-1	ii 
libapache2-mod-php8.4	8.4.24-1	ii 
libapparmor1:amd64	4.1.8-1	ii 
libapr1t64:amd64	1.7.6-3+b1	ii 
libaprutil1-dbd-sqlite3:amd64	1.6.4-2	ii 
libaprutil1-ldap:amd64	1.6.4-2	ii 
libaprutil1t64:amd64	1.6.4-2	ii 
libapt-pkg7.0:amd64	3.3.2+kali1	ii 
libarchive13t64:amd64	3.8.9-1	ii 
libargon2-1:amd64	0~20190702+dfsg-6	ii 
libasan8:amd64	16.2.0-1	ii 
libasound2-data	1.2.16.1-1	ii 
libasound2t64:amd64	1.2.16.1-1	ii 
libasyncns0:amd64	0.8-8	ii 
libatk-bridge2.0-0t64:amd64	2.61.1-1	ii 
libatk1.0-0t64:amd64	2.61.1-1	ii 
libatomic1:amd64	16.2.0-1	ii 
libatspi2.0-0t64:amd64	2.61.1-1	ii 
libattr1:amd64	1:2.6.0-1	ii 
libaudit-common	1:4.1.2-1	ii 
libaudit1:amd64	1:4.1.2-1+b1	ii 
libavahi-client3:amd64	0.8-18	ii 
libavahi-common-data:amd64	0.8-18	ii 
libavahi-common3:amd64	0.8-18	ii 
libavcodec62:amd64	7:8.1.2-2+b3	ii 
libavformat62:amd64	7:8.1.2-2+b3	ii 
libavif16:amd64	1.4.2-1	ii 
libavutil60:amd64	7:8.1.2-2+b3	ii 
libb2-1:amd64	0.98.1-1.1+b3	ii 
libbcg729-0:amd64	1.1.2-1	ii 
libbfio1:amd64	20170123-6+b3	ii 
libbinutils:amd64	2.47-2	ii 
libblas3:amd64	3.12.1-8	ii 
libblkid1:amd64	2.42.2-2	ii 
libbluetooth3:amd64	5.87-1	ii 
libbluray4:amd64	1:1.5.0-3	ii 
libbpf1:amd64	1:1.7.0-1	ii 
libbrotli1:amd64	1.2.0-4+b1	ii 
libbsd0:amd64	0.12.2-3	ii 
libbson2-2	2.5.0-1	ii 
libbtbb1:amd64	2020.12.R1-0.1	ii 
libbz2-1.0:amd64	1.0.8-6+b2	ii 
libc-bin	2.43-4	ii 
libc-dev-bin	2.43-4	ii 
libc-gconv-modules-extra:amd64	2.43-4	ii 
libc-l10n	2.43-4	ii 
libc6-dev:amd64	2.43-4	ii 
libc6:amd64	2.43-4	ii 
libcairo-gobject2:amd64	1.18.4-3+b1	ii 
libcairo2:amd64	1.18.4-3+b1	ii 
libcap-ng0:amd64	0.9.3-1+b1	ii 
libcap2-bin	1:2.78-1+b1	ii 
libcap2:amd64	1:2.78-1+b1	ii 
libcapstone5:amd64	5.0.9-1	ii 
libcares2:amd64	1.34.8-1	ii 
libcbor0.10:amd64	0.10.2-2.2	ii 
libcgi-pm-perl	4.72-1	ii 
libchromaprint1:amd64	1.6.1-1	ii 
libcjson1:amd64	1.7.19-2+b1	ii 
libclang-common-21-dev:amd64	1:21.1.8-10	ii 
libclang-cpp21	1:21.1.8-10	ii 
libclang1-21	1:21.1.8-10	ii 
libcli1.10t64:amd64	1.10.7-3+b1	ii 
libclone-perl:amd64	0.50-1+b1	ii 
libcloudproviders0:amd64	0.4.0-3	ii 
libcodec2-1.2:amd64	1.2.0-5	ii 
libcolord2:amd64	1.4.8-3	ii 
libcom-err2:amd64	1.47.4-1+b1	ii 
libconfig11:amd64	1.7.3-2.1+b1	ii 
libcpuinfo0:amd64	0.0~git20250905.877328f-1+b1	ii 
libcrypt1:amd64	1:4.5.2+20251210-1	ii 
libcrypto++8t64:amd64	8.9.0-3	ii 
libcryptsetup12:amd64	2:2.8.7-1	ii 
libct4:amd64	1.5.5+ds-1+b2	ii 
libctf-nobfd0:amd64	2.47-2	ii 
libctf0:amd64	2.47-2	ii 
libcups2t64:amd64	2.4.18-1	ii 
libcurl3t64-gnutls:amd64	8.21.0-2	ii 
libcurl4-gnutls:amd64	8.21.0-2	ii 
libcurl4t64:amd64	8.21.0-2	ii 
libdate-manip-perl	6.99-2	ii 
libdatrie1:amd64	0.2.14-2	ii 
libdav1d7:amd64	1.5.4-1	ii 
libdb5.3t64:amd64	5.3.28+dfsg2-11+b1	ii 
libdbi-perl:amd64	1.651-1+b1	ii 
libdbus-1-3:amd64	1.16.2-5+b1	ii 
libdconf1:amd64	0.49.0-4+b1	ii 
libde265-0:amd64	1.1.1-1	ii 
